FundingInstrumentGaLevel1,AmountGranted,FundingInstrumentGaReporting,FundingInstrumentGaReporting_De,FundingInstrumentGaReporting_Fr
Careers,115200,Fellowships,Stipendien,Bourses 
Careers,96600,Fellowships,Stipendien,Bourses 
Careers,94300,Fellowships,Stipendien,Bourses 
Careers,151000,Fellowships,Stipendien,Bourses 
Careers,106000,Fellowships,Stipendien,Bourses 
Careers,112000,Fellowships,Stipendien,Bourses 
Careers,109800,Fellowships,Stipendien,Bourses 
Careers,91500,Fellowships,Stipendien,Bourses 
Careers,109100,Fellowships,Stipendien,Bourses 
Careers,100000,Fellowships,Stipendien,Bourses 
Careers,107935,Fellowships,Stipendien,Bourses 
Science communication,4153,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2217,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1669,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1550,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2649,Open Access Article,Open Access Artikel,Open Access Article
Science communication,4190,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5358,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1206,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2589,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3200,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1295,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2643,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2761,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1854,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2260,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2117,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1440,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5445,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2876,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2019,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2736,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2075,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5315,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1077,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2903,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2289,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1618,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2216,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1719,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1034,Open Access Article,Open Access Artikel,Open Access Article
Science communication,4680,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1233,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1553,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1357,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1288,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2456,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1707,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2000,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1706,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3187,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2462,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1414,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1186,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1405,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2948,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1519,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1290,Open Access Article,Open Access Artikel,Open Access Article
Careers,85800,Fellowships,Stipendien,Bourses 
Careers,84875,Fellowships,Stipendien,Bourses 
Careers,101200,Fellowships,Stipendien,Bourses 
Careers,116000,Fellowships,Stipendien,Bourses 
Careers,120000,Fellowships,Stipendien,Bourses 
Careers,89250,Fellowships,Stipendien,Bourses 
Careers,121000,Fellowships,Stipendien,Bourses 
Careers,118000,Fellowships,Stipendien,Bourses 
Science communication,1500,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2730,Open Access Article,Open Access Artikel,Open Access Article
Science communication,4042,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2846,Open Access Article,Open Access Artikel,Open Access Article
Science communication,848,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1803,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1564,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3380,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3620,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1467,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2930,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3600,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2888,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1747,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2592,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3320,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1723,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2705,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2320,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1206,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2213,Open Access Article,Open Access Artikel,Open Access Article
Science communication,4500,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1981,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5800,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2850,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1517,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3604,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1767,Open Access Article,Open Access Artikel,Open Access Article
Science communication,5263,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2246,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2732,Open Access Article,Open Access Artikel,Open Access Article
Science communication,3175,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1584,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2270,Open Access Article,Open Access Artikel,Open Access Article
Science communication,1953,Open Access Article,Open Access Artikel,Open Access Article
Science communication,2824,Open Access Article,Open Access Artikel,Open Access Article
